gid,pid,words,sentence_number
8,eicwgihgtp1,"कानूनों,प्रथाओं",32
8,eicwgihgtp1,मूलतः,33
8,eicwgihgtp1,,34
8,eicwgihgtp1,इज़ाफा,35
8,eicwgihgtp1,इकाई,36
8,eicwgihgtp1,,37
8,eicwgihgtp1,"उपरोपिका,मूलवृंत,तने,चुने",38
8,eicwgihgtp1,,39
8,eicwgihgtp1,"कुँवर,घोड़े,द्रुतगति,सुखस्वप्न",40
8,eicwgihgtp1,,41
8,eicwgihgtp1,"झुँझला,ताँगे,छावनी,थियेटर",42
8,eicwgihgtp1,"मोटेराम,डौल",43
8,eicwgihgtp1,बदौलत,44
8,eicwgihgtp1,परन्तु,45
8,eicwgihgtp1,,46
8,eicwgihgtp1,चंद,47
8,eicwgihgtp1,तट,48
8,eicwgihgtp1,"अतएव,शिकार,लौटेंगे",49
8,eicwgihgtp1,"मड़ैया,खिसक",50
8,eicwgihgtp1,,51
8,eicwgihgtp1,"घमंड,नामनिशान,चिल्लू",52
8,eicwgihgtp1,पेड़पत्ते,53
8,eicwgihgtp1,कदापि,54
8,eicwgihgtp1,"भैया,बाऊजी",55
8,eicwgihgtp1,निकाह,56
8,eicwgihgtp1,निकाह,56
8,eicwgihgtp1,बिल्कुल,58
8,eicwgihgtp1,अस्पताल,59
8,eicwgihgtp1,,60
8,eicwgihgtp1,,61
8,eicwgihgtp1,"माटी,गिरवाइए,छड़की,दिलवा",62
8,eicwgihgtp1,"देहातीत,अशरीरी,धड़कती",63
8,eicwgihgtp1,"सर्दी,बावजूद,पसीने,बूँदें,झलक",64
8,eicwgihgtp1,"तौर,अलावा,क्लरक्लियल",65
8,eicwgihgtp1,"अभागे,कैदियों",66
8,eicwgihgtp1,"तनाव,मंडराने",67
8,eicwgihgtp1,"सिवाय,रसपान",68
8,eicwgihgtp1,"लगातार,खाँस",69
8,eicwgihgtp1,,70
8,eicwgihgtp1,"बर्खास्त,पुलिसकर्मियों,गिरोह",71
8,eicwgihgtp1,"बर्खास्त,पुलिसकर्मियों,गिरोह",71
8,eicwgihgtp1,नामांकन,73
8,eicwgihgtp1,"ख़ाली,टिप्पणी",74
8,eicwgihgtp1,तय,75
8,eicwgihgtp1,"मदद,अस्पताल,लॉज,होस्टलों,मदद,संगठन",76
8,eicwgihgtp1,"क्लिक,एंड्रॉएड,क्लिक",77
8,eicwgihgtp1,जानकारी,78
8,eicwgihgtp1,,79
8,eicwgihgtp1,"सल्वाटोरे,टोटो,मैट्टेओ",80
8,eicwgihgtp1,"गेंहू,संकट,जिम्मेदार,ठहराया",81
8,eicwgihgtp1,"तोंसा,कारख़ाने,कच्चे,दोबारा,परीक्षण",82
8,eicwgihgtp1,चुनाव,83
8,eicwgihgtp1,"तकनीकी,अलावा,विकल्पों",84
8,eicwgihgtp1,"चिंतनशील,ग्राम्शी,इकीसवीं",85
8,eicwgihgtp1,"गुलामी,परंतु,उलट,क्रम",86
8,eicwgihgtp1,"दादाश्री,दवाई,निहित",87
8,eicwgihgtp1,,88
8,eicwgihgtp1,"नरमी,बरती,वाजिब,वजह",89
8,eicwgihgtp1,"विश्‍वदृष्टि,आजीवन,प्रतीतियों",90
8,eicwgihgtp1,"दरअसल,जानेअनजाने,लेखक,धारणा",91
8,eicwgihgtp1,"कालांतर,तबके,मार्क्सएंगेल्स,मंतव्यों,मार्क्सवादी",92
8,eicwgihgtp1,,93
8,eicwgihgtp1,अज्ञेय,94
8,eicwgihgtp1,"कलावादी,आलोचक,तथ्यतर्कपरकता,स्थानापन्न,वाग्जाल,रूपवाद",95
8,eicwgihgtp1,रीझने,96
8,eicwgihgtp1,"दागने,दूसरों",97
8,eicwgihgtp1,,98
8,eicwgihgtp1,"बंकिम,प्रेमकेंद्रित,रोमांस,कोरे,व्‍यंजित",99
8,eicwgihgtp2,,0
8,eicwgihgtp2,अद्वितीय,1
8,eicwgihgtp2,"वैविध्य,ऐक्य,विशिष्टता",2
8,eicwgihgtp2,त्वचा,3
8,eicwgihgtp2,ट्राय,4
8,eicwgihgtp2,सम्पुट,5
8,eicwgihgtp2,इफको,6
8,eicwgihgtp2,अधिग्राहण,7
8,eicwgihgtp2,तरुवर,8
8,eicwgihgtp2,विलम्ब,9
8,eicwgihgtp2,संग,10
8,eicwgihgtp2,पारस,11
8,eicwgihgtp2,गठरी,12
8,eicwgihgtp2,श्रीमती,13
8,eicwgihgtp2,गति,14
8,eicwgihgtp2,दफ्तर,15
8,eicwgihgtp2,दबंग,16
8,eicwgihgtp2,गण,17
8,eicwgihgtp2,राह,18
8,eicwgihgtp2,हलचल,19
8,eicwgihgtp2,तमाचा,20
8,eicwgihgtp2,उखड़,21
8,eicwgihgtp2,ठिठुरे,22
8,eicwgihgtp2,दिखलाते,23
8,eicwgihgtp2,कट,24
8,eicwgihgtp2,माया,25
8,eicwgihgtp2,नगला,26
8,eicwgihgtp2,समुदाय,27
8,eicwgihgtp2,"विधायिकाओं,विधायी",28
8,eicwgihgtp2,"परम्परागत,उदारवादी",29
8,eicwgihgtp2,शरणार्थी,30
8,eicwgihgtp2,प्रेगेर,31
8,eicwgihgtp2,प्रथाओं,32
8,eicwgihgtp2,मूलतः,33
8,eicwgihgtp2,कार्यकर्ता,34
8,eicwgihgtp2,"प्रौद्योगिकी,इज़ाफा",35
8,eicwgihgtp2,"औद्योगिक,इकाई",36
8,eicwgihgtp2,लय,37
8,eicwgihgtp2,"उपरोपिका,मूलवृंत,व्यास",38
8,eicwgihgtp2,क्रमबद्ध,39
8,eicwgihgtp2,द्रुतगति,40
8,eicwgihgtp2,"मित्र,मुँह",41
8,eicwgihgtp2,"झुँझला,छावनी",42
8,eicwgihgtp2,डौल,43
8,eicwgihgtp2,बदौलत,44
8,eicwgihgtp2,मूँगा,45
8,eicwgihgtp2,चक्रवर्ती,46
8,eicwgihgtp2,जी,47
8,eicwgihgtp2,स्त्री,48
8,eicwgihgtp2,अतएव,49
8,eicwgihgtp2,मड़ैया,50
8,eicwgihgtp2,संग्राम,51
8,eicwgihgtp2,"नामनिशान,चिल्लू",52
8,eicwgihgtp2,पेड़पत्ते,53
8,eicwgihgtp2,कदापि,54
8,eicwgihgtp2,बाऊजी,55
8,eicwgihgtp2,निकाह,56
8,eicwgihgtp2,"पिटी-पिटाई,शब्दावली",57
8,eicwgihgtp2,प्रतिष्ठा,58
8,eicwgihgtp2,क्षण,59
8,eicwgihgtp2,यात्रियों,60
8,eicwgihgtp2,छत्तीस,61
8,eicwgihgtp2,छड़की,62
8,eicwgihgtp2,"देहातीत,अशरीरी",63
8,eicwgihgtp2,बावजूद,64
8,eicwgihgtp2,"प्रायोगिक,क्लरक्लियल",65
8,eicwgihgtp2,अभागे,66
8,eicwgihgtp2,मंडराने,67
8,eicwgihgtp2,रसपान,68
8,eicwgihgtp2,अवकाश,69
8,eicwgihgtp2,फिल्म,70
8,eicwgihgtp2,"बर्खास्त,गिरोह",71
8,eicwgihgtp2,"परवेज़,स्वघोषित",72
8,eicwgihgtp2,श्रेणियों,73
8,eicwgihgtp2,"प्रसारण,टीका",74
8,eicwgihgtp2,रिलीज़,75
8,eicwgihgtp2,व्यावसायिक,76
8,eicwgihgtp2,क्लिक,77
8,eicwgihgtp2,अनुमति,78
8,eicwgihgtp2,ड्राईवर्स,79
8,eicwgihgtp2,"सल्वाटोरे,मैट्टेओ",80
8,eicwgihgtp2,संकट,81
8,eicwgihgtp2,"कच्चे,परीक्षण",82
8,eicwgihgtp2,नेतृत्व,83
8,eicwgihgtp2,प्रमुख,84
8,eicwgihgtp2,"चिंतनशील,ग्राम्शी,मानवतावादी",85
8,eicwgihgtp2,अंतर्जातीय,86
8,eicwgihgtp2,दादाश्री,87
8,eicwgihgtp2,मूल्यों,88
8,eicwgihgtp2,"संजीव,वाजिब",89
8,eicwgihgtp2,"विश्‍वदृष्टि,यथार्थ",90
8,eicwgihgtp2,"संरचना,संचालित",91
8,eicwgihgtp2,"कालांतर,वंचित,वांछा,मंतव्यों",92
8,eicwgihgtp2,अवधी,93
8,eicwgihgtp2,"अज्ञेय,पुष्पावती",94
8,eicwgihgtp2,"आलोचक,तथ्यतर्कपरकता,वाग्जाल,रूपवाद",95
8,eicwgihgtp2,"पद्धति,रीझने",96
8,eicwgihgtp2,"द्वारा,दागने",97
8,eicwgihgtp2,रुचि,98
8,eicwgihgtp2,"बंकिम,प्रेमकेंद्रित,व्‍यंजित",99
8,eicwgihgtp4,,0
8,eicwgihgtp4,,1
8,eicwgihgtp4,"वैविध्य,वैविध्यों",2
8,eicwgihgtp4,,3
8,eicwgihgtp4,"निःशुल्क,नर्मदा",4
8,eicwgihgtp4,सम्पुट,5
8,eicwgihgtp4,"सशक्तिकरण,इफको",6
8,eicwgihgtp4,,7
8,eicwgihgtp4,"तरुवर,शरण",8
8,eicwgihgtp4,अड़चने,9
8,eicwgihgtp4,,10
8,eicwgihgtp4,पारस,11
8,eicwgihgtp4,गठरी,12
8,eicwgihgtp4,,13
8,eicwgihgtp4,,14
8,eicwgihgtp4,,15
8,eicwgihgtp4,,16
8,eicwgihgtp4,,17
8,eicwgihgtp4,,18
8,eicwgihgtp4,,19
8,eicwgihgtp4,,20
8,eicwgihgtp4,उखड़,21
8,eicwgihgtp4,ठिठुरे,22
8,eicwgihgtp4,,23
8,eicwgihgtp4,,24
8,eicwgihgtp4,,25
8,eicwgihgtp4,नगला,26
8,eicwgihgtp4,"ब्रिटेन,समुदाय",27
8,eicwgihgtp4,"विधायिकाओं,विधायी",28
8,eicwgihgtp4,"लोकतांत्रिक,उदारवादी,लोकतांत्रिक",29
8,eicwgihgtp4,,30
8,eicwgihgtp4,,31
8,eicwgihgtp4,प्रथाओं,32
8,eicwgihgtp4,,33
8,eicwgihgtp4,कार्यकर्ता,34
8,eicwgihgtp4,"प्रौद्योगिकी,इज़ाफा",35
8,eicwgihgtp4,"औद्योगिक,इकाई",36
8,eicwgihgtp4,,37
8,eicwgihgtp4,"उपरोपिका,मूलवृंत,व्यास,तने",38
8,eicwgihgtp4,क्रमबद्ध,39
8,eicwgihgtp4,,40
8,eicwgihgtp4,अँधेरे,41
8,eicwgihgtp4,"झुँझला,ताँगे,छावनी",42
8,eicwgihgtp4,डौल,43
8,eicwgihgtp4,बदौलत,44
8,eicwgihgtp4,,45
8,eicwgihgtp4,चक्रवर्ती,46
8,eicwgihgtp4,,47
8,eicwgihgtp4,,48
8,eicwgihgtp4,,49
8,eicwgihgtp4,मड़ैया,50
8,eicwgihgtp4,"संग्राम,विलीन",51
8,eicwgihgtp4,,52
8,eicwgihgtp4,,53
8,eicwgihgtp4,कदापि,54
8,eicwgihgtp4,,55
8,eicwgihgtp4,,56
8,eicwgihgtp4,,57
8,eicwgihgtp4,वर्ग,58
8,eicwgihgtp4,,59
8,eicwgihgtp4,,60
8,eicwgihgtp4,,61
8,eicwgihgtp4,,62
8,eicwgihgtp4,देहातीत,63
8,eicwgihgtp4,,64
8,eicwgihgtp4,प्रायोगिक,65
8,eicwgihgtp4,,66
8,eicwgihgtp4,,67
8,eicwgihgtp4,,68
8,eicwgihgtp4,,69
8,eicwgihgtp4,,70
8,eicwgihgtp4,"बर्खास्त,गिरोह",71
8,eicwgihgtp4,तहत,72
8,eicwgihgtp4,,73
8,eicwgihgtp4,प्रसारण,74
8,eicwgihgtp4,,75
8,eicwgihgtp4,,76
8,eicwgihgtp4,,77
8,eicwgihgtp4,,78
8,eicwgihgtp4,ड्राईवर्स,79
8,eicwgihgtp4,"सल्वाटोरे,रिकॉर्डिंग,मैट्टेओ",80
8,eicwgihgtp4,,81
8,eicwgihgtp4,,82
8,eicwgihgtp4,,83
8,eicwgihgtp4,गार्नेट,84
8,eicwgihgtp4,ग्राम्शी,85
8,eicwgihgtp4,,86
8,eicwgihgtp4,निहित,87
8,eicwgihgtp4,,88
8,eicwgihgtp4,"संजीव,आरंभिक,वाजिब,वजह",89
8,eicwgihgtp4,,90
8,eicwgihgtp4,संरचना,91
8,eicwgihgtp4,"मार्क्सएंगेल्स,मंतव्यों,सौंदर्यशास्त्र",92
8,eicwgihgtp4,अवधी,93
8,eicwgihgtp4,पुष्पावती,94
8,eicwgihgtp4,"तथ्यतर्कपरकता,स्थानापन्न,वाग्जाल",95
8,eicwgihgtp4,रीझने,96
8,eicwgihgtp4,,97
8,eicwgihgtp4,,98
8,eicwgihgtp4,प्रेमकेंद्रित,99
8,eicwgihgtp5,,0
8,eicwgihgtp5,निर्मित,1
8,eicwgihgtp5,,2
8,eicwgihgtp5,,3
8,eicwgihgtp5,,0
8,eicwgihgtp5,सम्पुट,0
8,eicwgihgtp5,"सशक्तिकरण,इफको",6
8,eicwgihgtp5,अधिग्राहण,7
8,eicwgihgtp5,तरुवर,8
8,eicwgihgtp5,,9
8,eicwgihgtp5,,10
8,eicwgihgtp5,,11
8,eicwgihgtp5,,12
8,eicwgihgtp5,,13
8,eicwgihgtp5,,14
8,eicwgihgtp5,,16
8,eicwgihgtp5,,17
8,eicwgihgtp5,,18
8,eicwgihgtp5,,19
8,eicwgihgtp5,,20
8,eicwgihgtp5,,21
8,eicwgihgtp5,ठिठुरे,22
8,eicwgihgtp5,,23
8,eicwgihgtp5,,24
8,eicwgihgtp5,,25
8,eicwgihgtp5,"का,नगला",26
8,eicwgihgtp5,,27
8,eicwgihgtp5,"अनुसूची,विधायिकाओं",28
8,eicwgihgtp5,,29
8,eicwgihgtp5,शरणार्थी,30
8,eicwgihgtp5,"रेस्क्यू,प्रेगेर,प्राप्त",31
8,eicwgihgtp5,,32
8,eicwgihgtp5,,33
8,eicwgihgtp5,,34
8,eicwgihgtp5,"प्रौद्योगिकी,इज़ाफा",35
8,eicwgihgtp5,औद्योगिक,36
8,eicwgihgtp5,लय,37
8,eicwgihgtp5,"उपरोपिका,मूलवृंत,व्यास,तने",38
8,eicwgihgtp5,,39
8,eicwgihgtp5,,40
8,eicwgihgtp5,,41
8,eicwgihgtp5,झुँझला,42
8,eicwgihgtp5,,43
8,eicwgihgtp5,,44
8,eicwgihgtp5,मूँगा,45
8,eicwgihgtp5,,46
8,eicwgihgtp5,,47
8,eicwgihgtp5,,48
8,eicwgihgtp5,अतएव,49
8,eicwgihgtp5,मड़ैया,50
8,eicwgihgtp5,,51
8,eicwgihgtp5,चिल्लू,52
8,eicwgihgtp5,,53
8,eicwgihgtp5,,54
8,eicwgihgtp5,,55
8,eicwgihgtp5,,56
8,eicwgihgtp5,पिटी-पिटाई,57
8,eicwgihgtp5,प्रतिष्ठा,58
8,eicwgihgtp5,,59
8,eicwgihgtp5,,60
8,eicwgihgtp5,,61
8,eicwgihgtp5,छड़की,62
8,eicwgihgtp5,"देहातीत,अशरीरी",63
8,eicwgihgtp5,,64
8,eicwgihgtp5,केंद्र,65
8,eicwgihgtp5,,66
8,eicwgihgtp5,,67
8,eicwgihgtp5,,68
8,eicwgihgtp5,,69
8,eicwgihgtp5,,70
8,eicwgihgtp5,गिरोह,71
8,eicwgihgtp5,,72
8,eicwgihgtp5,श्रेणियों,73
8,eicwgihgtp5,,74
8,eicwgihgtp5,,75
8,eicwgihgtp5,,76
8,eicwgihgtp5,,77
8,eicwgihgtp5,,78
8,eicwgihgtp5,,79
8,eicwgihgtp5,मैट्टेओ,80
8,eicwgihgtp5,,81
8,eicwgihgtp5,,82
8,eicwgihgtp5,प्रक्रिया,83
8,eicwgihgtp5,,84
8,eicwgihgtp5,ग्राम्शी,85
8,eicwgihgtp5,,86
8,eicwgihgtp5,निहित,87
8,eicwgihgtp5,,88
8,eicwgihgtp5,वाजिब,89
8,eicwgihgtp5,"प्रतीतियों,क्रीड़ा",90
8,eicwgihgtp5,,91
8,eicwgihgtp5,"तबके,वांछा,मार्क्सएंगेल्स,मंतव्यों",92
8,eicwgihgtp5,,93
8,eicwgihgtp5,पुष्पावती,94
8,eicwgihgtp5,"तथ्यतर्कपरकता,वाग्जाल",95
8,eicwgihgtp5,,96
8,eicwgihgtp5,,97
8,eicwgihgtp5,,98
8,eicwgihgtp5,प्रेमकेंद्रित,99
18,eigcwhteigenp1,रणथम्भौर,0
18,eigcwhteigenp1,अद्वितीय,1
18,eigcwhteigenp1,"वैविध्य,वैविध्यों,ऐक्य,विशिष्टता",2
18,eigcwhteigenp1,,3
18,eigcwhteigenp1,"वितरण,नर्मदा",4
18,eigcwhteigenp1,सम्पुट,5
18,eigcwhteigenp1,"ग्रामीण,सशक्तिकरण",6
18,eigcwhteigenp1,अधिग्राहण,7
18,eigcwhteigenp1,तरुवर,8
18,eigcwhteigenp1,,9
18,eigcwhteigenp1,,10
18,eigcwhteigenp1,,11
18,eigcwhteigenp1,,12
18,eigcwhteigenp1,,13
18,eigcwhteigenp1,,14
18,eigcwhteigenp1,इजाजात,15
18,eigcwhteigenp1,चकमा,16
18,eigcwhteigenp1,,17
18,eigcwhteigenp1,,18
18,eigcwhteigenp1,सलिल,19
18,eigcwhteigenp1,,20
18,eigcwhteigenp1,,21
18,eigcwhteigenp1,,22
18,eigcwhteigenp1,,23
18,eigcwhteigenp1,,24
18,eigcwhteigenp1,सिद्धांन्तों,25
18,eigcwhteigenp1,"गर्भाशय,अभिन्नता",26
18,eigcwhteigenp1,"निमित्त,षड्यंत्र,प्रमुख",27
18,eigcwhteigenp1,"कथावस्तु,चित्रकार,गुमान,चित्र",28
18,eigcwhteigenp1,"क्षेत्र,विविधतापूर्ण",29
18,eigcwhteigenp1,"विमानन,तुंगतामापी,समायोजन",30
18,eigcwhteigenp1,"व्यावसायिक,प्रणालियों",31
18,eigcwhteigenp1,"प्रक्रिया,कार्यान्वयन",32
18,eigcwhteigenp1,"आर्थिक,भूगोल",33
18,eigcwhteigenp1,"दुरमुस,सशस्त्र",34
18,eigcwhteigenp1,प्रचलित,35
18,eigcwhteigenp1,"दीर्ध,प्रयत्न",36
18,eigcwhteigenp1,"चित्र,प्रायः",37
18,eigcwhteigenp1,प्रतियोगिताओं,38
18,eigcwhteigenp1,"मातृकाग्रन्थों,संरक्षित",39
18,eigcwhteigenp1,सावरेन,40
18,eigcwhteigenp1,,41
18,eigcwhteigenp1,कजाकी,42
18,eigcwhteigenp1,"भूषण,दूषण",43
18,eigcwhteigenp1,"रस,तथ्य",44
18,eigcwhteigenp1,,45
18,eigcwhteigenp1,"आचार्य,प्रतिष्ठा,विराजित,प्रशंसा",46
18,eigcwhteigenp1,बौरही,47
18,eigcwhteigenp1,आहत,48
18,eigcwhteigenp1,"शीघ्रता,कुँवरि",49
18,eigcwhteigenp1,"कृतज्ञता,नवाया",50
18,eigcwhteigenp1,मदरसा,51
18,eigcwhteigenp1,,52
18,eigcwhteigenp1,,53
18,eigcwhteigenp1,,54
18,eigcwhteigenp1,,55
18,eigcwhteigenp1,"ओके,जिन्दादिली",56
18,eigcwhteigenp1,महुआ,57
18,eigcwhteigenp1,,58
18,eigcwhteigenp1,"मुश्क,उड़ेली",59
18,eigcwhteigenp1,बुद्धिप्रकाश,60
18,eigcwhteigenp1,अमिताभ,61
18,eigcwhteigenp1,,62
18,eigcwhteigenp1,"अनुकरण,सुलेख",63
18,eigcwhteigenp1,,64
18,eigcwhteigenp1,रुदन,65
18,eigcwhteigenp1,,66
18,eigcwhteigenp1,धेले,67
18,eigcwhteigenp1,"सुसरा,मैमूद",68
18,eigcwhteigenp1,"कोलिन,मैकलोघलिन,वेन,रूनी",69
18,eigcwhteigenp1,,70
18,eigcwhteigenp1,,71
18,eigcwhteigenp1,,72
18,eigcwhteigenp1,,73
18,eigcwhteigenp1,सक्रिय,74
18,eigcwhteigenp1,,75
18,eigcwhteigenp1,गोविंदाचार्य,76
18,eigcwhteigenp1,विस्तृत,77
18,eigcwhteigenp1,,78
18,eigcwhteigenp1,"आधुनिकतम,प्रणाली",79
18,eigcwhteigenp1,,80
18,eigcwhteigenp1,मानवाधिकार,81
18,eigcwhteigenp1,अधिग्रहण,82
18,eigcwhteigenp1,,83
18,eigcwhteigenp1,धारणा,84
18,eigcwhteigenp1,"मंदिरा,स्त्री,पितृसत्ता",85
18,eigcwhteigenp1,क्रम,86
18,eigcwhteigenp1,बलवाराम,87
18,eigcwhteigenp1,,88
18,eigcwhteigenp1,"निकष,परित्याग",89
18,eigcwhteigenp1,ब्रेख्त,90
18,eigcwhteigenp1,"यद्यपि,चेष्टा,शीलता",91
18,eigcwhteigenp1,"अंतर्विरोधी,प्रवृत्तियाँ",92
18,eigcwhteigenp1,,93
18,eigcwhteigenp1,परस्परान्वितता,94
18,eigcwhteigenp1,कार्यप्रणाली,95
18,eigcwhteigenp1,"वर्ग,विरोध,पूँजीवादी,अंतर्विरोध",96
18,eigcwhteigenp1,"रचनाधर्मी,संश्लिष्टता",97
18,eigcwhteigenp1,,98
18,eigcwhteigenp1,"आत्मधर्म,परधर्म",99
18,eigcwhteigenp2,,0
18,eigcwhteigenp2,अद्वितीय,1
18,eigcwhteigenp2,,2
18,eigcwhteigenp2,,3
18,eigcwhteigenp2,,4
18,eigcwhteigenp2,सम्पुट,5
18,eigcwhteigenp2,"सशक्तिकरण,इफको",6
18,eigcwhteigenp2,अधिग्राहण,7
18,eigcwhteigenp2,,8
18,eigcwhteigenp2,,9
18,eigcwhteigenp2,,10
18,eigcwhteigenp2,,11
18,eigcwhteigenp2,,12
18,eigcwhteigenp2,,13
18,eigcwhteigenp2,,14
18,eigcwhteigenp2,,15
18,eigcwhteigenp2,,16
18,eigcwhteigenp2,,17
18,eigcwhteigenp2,,18
18,eigcwhteigenp2,,19
18,eigcwhteigenp2,,20
18,eigcwhteigenp2,,21
18,eigcwhteigenp2,,22
18,eigcwhteigenp2,,23
18,eigcwhteigenp2,,24
18,eigcwhteigenp2,,25
18,eigcwhteigenp2,,26
18,eigcwhteigenp2,,27
18,eigcwhteigenp2,,28
18,eigcwhteigenp2,"विविधतापूर्ण,देशज",29
18,eigcwhteigenp2,तुंगतामापी,30
18,eigcwhteigenp2,,31
18,eigcwhteigenp2,कार्यान्वयन,32
18,eigcwhteigenp2,,33
18,eigcwhteigenp2,दुरमुस,34
18,eigcwhteigenp2,,35
18,eigcwhteigenp2,,36
18,eigcwhteigenp2,,37
18,eigcwhteigenp2,,38
18,eigcwhteigenp2,मातृकाग्रन्थों,39
18,eigcwhteigenp2,,40
18,eigcwhteigenp2,,41
18,eigcwhteigenp2,,42
18,eigcwhteigenp2,,43
18,eigcwhteigenp2,भांति,44
18,eigcwhteigenp2,,45
18,eigcwhteigenp2,,46
18,eigcwhteigenp2,बौरही,47
18,eigcwhteigenp2,,48
18,eigcwhteigenp2,,49
18,eigcwhteigenp2,कृतज्ञता,50
18,eigcwhteigenp2,,51
18,eigcwhteigenp2,,52
18,eigcwhteigenp2,,53
18,eigcwhteigenp2,,54
18,eigcwhteigenp2,,55
18,eigcwhteigenp2,,56
18,eigcwhteigenp2,,57
18,eigcwhteigenp2,,58
18,eigcwhteigenp2,,59
18,eigcwhteigenp2,,60
18,eigcwhteigenp2,,61
18,eigcwhteigenp2,,62
18,eigcwhteigenp2,,63
18,eigcwhteigenp2,,64
18,eigcwhteigenp2,रुदन,65
18,eigcwhteigenp2,,66
18,eigcwhteigenp2,,67
