word,frequency
जारी,161
खुद,161
समाज,161
निकाल,161
साहित्य,161
विदेशी,161
समाचार,160
धोनी,160
लगातार,159
बिहार,159
तरफ,159
वजह,159
अर्थ,159
प्रेम,159
बेटा,157
दर्शक,157
आयोजित,157
खान,157
अंक,157
नंबर,157
रोक,156
कोशिश,156
राजा,156
मुद्दा,155
राजनीति,155
पेश,155
ऊपर,155
कहाँ,155
पुरस्कार,155
तू,155
वस्तु,154
मृदा,154
शब्द,154
विजय,154
छह,153
फीसदी,152
मंत्रालय,152
न्यूजीलैंड,152
सर,151
उगा,150
कहानी,150
सूत्र,150
प्रस्ताव,150
ईश्णर,150
गुण,149
वर्षा,149
रात,149
स्वरूप,149
वृद्धि,148
व्यवस्था,148
सवाल,148
संसार,148
इंग्लैंड,148
कुल,147
राजनीतिक,147
साध,147
आरोप,147
लंबा,146
शादी,146
युवा,146
हमेशा,145
विदेश,145
व्यक्‍ति,145
भगवान,145
याद,144
शुरुआत,144
हजार,143
प्रथम,143
आर्ट,143
भाव,142
मध्य,142
दर,142
वर्णन,142
बल्लेबाजी,142
जमीन,141
माध्यम,141
प्रभावित,141
अमेरिका,141
शुक्रवार,141
रेडियो,140
भूमिका,139
सत्ता,139
बुला,139
लक्ष्य,138
पिता,138
परंतु,138
मनुष्य,138
मुकाबला,138
जवाब,138
समस्या,137
मुताबिक,137
सत्र,137
शिक्षा,136
प्रत्येक,136
नामक,136
मैदान,136
संघ,136
ऑफ,135
दौर,134
कोर्ट,134
जीव,133
बस,133
करीब,133
सी,133
नजर,132
रच,132
सत्य,132
कानून,132
ओवर,132
तहत,131
सिद्धान्त,131
नरेंद्र,131
मार्च,130
पत्ती,130
तेल,130
अवस्था,130
चित्रण,130
खास,129
संख्या,129
स्कूल,129
जरूरी,128
चीन,128
पत्रकार,128
बंद,127
दिख,127
उपलब्ध,127
पहचान,127
खाना,127
प्राचीन,127
वनडे,127
पदार्थ,126
पीछे,126
वर्ग,126
मगर,126
प्यार,126
टूर्नामेंट,126
अप्रैल,125
तत्व,125
श्रीलंका,125
साफ,125
शरीर,125
भावना,125
शानदार,125
जदयू,125
खिलाड़ी,125
प्रयास,124
जानकारी,124
पैसा,124
उठ,124
वित्त,123
हाल,123
शैली,123
दिल,123
गहरा,123
आठ,123
दर्ज,123
दौरा,123
बचा,122
स्वयं,122
छोड़,122
सफल,122
वापस,122
शनिवार,122
दिशा,121
बोर्ड,121
रविवार,120
अंत,120
उद्योग,120
मानव,120
सात,120
पी,120
आधुनिक,120
भला,120
सेवा,120
पंजाब,119
प्रकाश,119
दृष्‍टि,119
आर्थिक,118
भिन्न,118
शीर्ष,118
स्वीकार,118
कल,118
समिति,117
जिला,117
क्षमता,116
रास्ता,116
इतिहास,116
पुरुष,116
तुम्हारी,116
बेहद,115
यात्रा,115
विश्वास,115
पुराना,115
विरोध,115
कोच,115
फाइनल,115
सिनेमा,115
गाँव,114
सुरक्षा,114
संसद,114
संभावना,114
चुन,114
विकसित,113
बावजूद,113
शहर,113
लोकसभा,113
संगीत,113
उतर,113
ए,112
किस्म,112
सिंचाई,112
अतः,112
दिला,112
देवी,112
पुलिस,112
मूल्य,111
अधिकार,111
मूल,111
अनुभव,111
गिर,111
जनवरी,111
मार,111
आदमी,111
अध्ययन,110
समर्थन,110
चाहिये,110
सामना,110
बड़ा,110
हेतु,109
पैदा,109
लौट,109
पसंद,109
गंभीर,108
उर्वरक,108
आधारित,108
पद्धति,108
गेहूँ,108
अतिरिक्त,108
अवसर,108
बेटी,108
गेँदबाजी,108
विधि,107
खराब,106
केंद्रीय,106
मार्ग,106
उपज,106
जितना,106
रेखा,106
नाटक,106
पक्ष,105
जोड़,105
कश्मीर,105
पत्रा,105
राष्‍ट्रपति,105
अदालत,105
बेहतर,104
प्रकृति,104
वैसे,104
भोजन,104
तरीका,104
सब्जी,104
आखिरी,104
देवता,104
सुधार,103
बंगाल,103
सूक्ष्म,103
सूर्य,103
सर्वाधिक,103
मिनट,103
आफ,103
घोषणा,103
कार,103
सचिन,103
पदक,103
सरकारी,102
आम,102
बढ़,102
परंपरा,102
जता,102
हिंदी,102
सुख,102
क्लार्क,102
चीनी,101
स्थित,101
खत्म,101
स्थापित,101
सांसद,101
जगत्,101
भिक्षु,101
विष्णु,101
कीट,100
खरीद,100
लाभ,100
माह,100
घटना,100
रुप,100
पर्व,100
हमला,100
स्पिनर,100
संभव,99
पूर्ण,99
इटली,99
बयान,99
गेँदबाज,99
उत्पाद,98
निभा,98
अफ्रीका,98
ग्रंथ,98
बढ़ा,97
स्पष्ट,97
रक्षा,97
ढंग,97
पहुँच,97
तत्त्व,97
बजट,97
शर्मा,97
खाद्य,96
सफलता,96
पर्याप्त,96
बच,96
मजबूत,96
योगदान,96
समान,96
देर,96
निजी,96
नियम,96
तुम्हारा,96
जरिये,95
लाल,95
वृक्ष,95
खा,95
यूरोप,95
शतक,95
सामाजिक,94
कदम,94
अत्यन्त,94
आयोग,94
कप,94
सीबीआई,94
पश्‍चात्,94
वैदिक,94
प्रधान,93
शायद,93
सुबह,93
किन्तु,93
नौ,93
दृश्य,93
लोक,93
ब्राह्मण,93
निर्भर,92
जिम्मेदारी,92
प्रक्रिया,92
चौथा,92
सामान्य,92
समारोह,92
सुप्रीम,92
आयोजन,92
भूल,92
सम्पादक,92
मुक्त,91
शिखर,91
प्रारंभ,91
दस,91
आउट,91
खाद,90
दबाव,90
मा,90
बढा,90
भविष्य,90
मुंबई,90
लड़की,90
कल्पना,90
नीति,89
मतलब,89
आस्ट्रेलिया,89
खोल,88
अंदर,88
साबित,88
ताकि,88
हैदराबाद,88
फरवरी,88
कथा,88
संबंधित,87
मौजूदा,87
सुन्दर,87
जल्दी,87
मोटा,87
बम्बई,87
आनंद,87
त्यौहार,87
उतार,86
नुकसान,86
नीचे,86
चुनौती,86
नारियल,86
समस्त,86
बहन,86
वेद,86
कीमत,85
इस्तेमाल,85
तैयारी,85
छोड़,85
चला,85
हल्दी,85
संस्कृति,85
हिन्दी,85
मुश्किल,85
गलत,85
स्थापना,84
वर्तमान,84
प्रसिद्ध,84
मर,84
तेरा,84
मोक्ष,84
दार्शनिक,84
राजस्थान,83
युग,83
पोषक,83
उत्पन्न,83
डॉ,83
खुशी,83
संभाल,83
पिच,83
धवन,83
रैंकिंग,83
उम्मीदवार,83
संघर्ष,82
यानी,82
बढ़,82
श्रेणी,82
वापसी,82
धार्मिक,82
फायदा,82
संदेश,82
उत्सव,81
बुरा,81
घरेलू,81
जल्द,81
घंटा,81
अहम,81
चीज,81
अभ्यास,81
आकार,80
बदलाव,80
हल्का,80
उपयुक्त,80
काट,80
परिणाम,80
महाराष्‍ट्र,80
समाप्त,80
बाल,80
महत्त्वपूर्ण,80
यूपीए,80
संगठन,79
सौ,79
निवेश,79
कहला,79
तापमान,79
क्रिया,79
प्राप्‍ति,79
धीरे,79
सन्,79
कपूर,79
गठबंधन,79
आतंकी,79
जडेजा,79
मौसम,78
संयुक्त,78
चयन,78
प्रत्यक्ष,78
साधन,78
सम्मान,78
गोल,78
सच,78
अंतरराष्ट्रीय,78
टीवी,78
असर,77
परिस्थिति,77
अपेक्षा,77
प्रणाली,77
सौंप,77
निर्यात,77
वोट,77
चौका,77
कुश्ती,77
निर्णय,76
पशु,76
बांग्लादेश,76
कैसा,76
श्री,76
मात्र,76
नेशनल,76
महान,76
पुत्र,76
सजा,76
करियर,76
प्रचार,75
खुल,75
उचित,75
सा,75
प्रवृत्ति,75
सहायक,75
छोड,75
बाकी,75
दोस्त,75
गुरु,75
प्रेरणा,75
कृष्ण,75
गेंदबाज,75
शुरु,74
अत,74
महत्त्व,74
भरोसा,74
मंदिर,74
बढ़ा,74
बचपन,74
परम्परा,74
विधायक,74
राजनाथ,74
प्रस्तुत,73
नगर,73
शताब्दी,73
ग्रहण,73
विधानसभा,73
लंदन,73
गाना,73
ब्रह्म,73
तेजी,72
पालन,72
पहुंचा,72
कर्नाटक,72
जैविक,72
कार्ड,72
पकड,72
खोज,72
सीमा,72
जुड़,72
राम,72
ओलंपिक,72
बीमारी,71
तभी,71
आजकल,71
तुलना,71
एशिया,71
जरूर,71
सहायता,71
राष्ट्रीय,71
प्रवेश,71
राय,71
शो,71
विपक्ष,71
रिश्ता,71
मूर्ति,71
खडा,71
ऋग्वेद,71
संत,71
चावल,70
विशेषता,70
अनुमान,70
मक्का,70
प्रायः,70
फोन,70
रुचि,70
भैया,70
निर्देशक,70
सीधे,69
बेच,69
मौजूद,69
मालूम,69
दिसंबर,69
उतना,69
बिल्कुल,69
खर्च,69
माता,69
आसान,69
राज,69
बाबू,69
एजेंसी,68
खूब,68
आदर्श,68
अधिकतर,68
रस,68
जड़,68
देव,68
मुँह,68
यादव,68
स्टार,68
गौतम,68
स्कोर,68
परिषद,67
बीत,67
खुश,67
श्रृंखला,67
जड़,67
खबर,67
सचिव,67
इंतजार,67
सृष्‍टि,67
ऑस्ट्रेलियाई,67
संस्था,66
विशाल,66
सौन्दर्य,66
नवंबर,66
समेत,66
सपा,66
मौलिक,66
हॉकी,66
गन्ना,65
उत्पादक,65
प्रसाद,65
दरअसल,65
उधर,65
अर्थात्,65
घोषित,65
माइकल,65
हटा,64
पढ,64
द,64
अस्तित्व,64
बिजली,64
कल्याण,64
गीत,64
लेखक,64
किरदार,64
विवाद,63
ताजा,63
प्रजाति,63
वातावरण,63
चिंता,63
दृष्‍टिकोण,63
मृत्यु,63
तोड़,63
पुस्तक,63
व्यक्ति,63
एंड,63
आँख,63
पति,63
नेतृत्व,63
प्रसारण,63
किताब,63
लीग,63
धारा,63
व्रत,63
हरियाणा,62
जुड,62
उल्लेख,62
महत्व,62
साधारण,62
नाइट्रोजन,62
तमाम,62
जलवायु,62
हिमाचल,62
दशक,62
ग्रुप,62
इंडियन,62
खाता,61
व्यापक,61
मौत,61
अभाव,61
ग्रामीण,61
संबंधी,61
कटाई,61
खड़ा,61
तमिलनाडु,61
मंगलवार,61
अनार,61
दान,61
नदी,61
सूचना,61
बुधवार,61
इधर,61
राजधानी,61
जन,61
सोनिया,61
सर्वश्रेष्ठ,61
शासक,61
योग,61
उपनिषद,61
अक्टूबर,60
कार्यालय,60
प्राकृतिक,60
कपास,60
धन,60
उभर,60
प्रशिक्षण,60
कब,60
प्रतीक,60
सब्सिडी,60
शाम,60
मानसिक,60
मीडिया,60
न्याय,60
सोसाइटी,60
मोहम्मद,60
अली,60
बंधन,60
चरण,59
हालत,59
रानी,59
जोर,59
मी,59
सृजन,59
अकेला,59
बल,59
आर,59
संकेत,59
व्याख्या,59
देखो,59
भेद,59
मुसलमान,59
प्रकाशित,59
यज्ञ,59
सुविधा,58
मिला,58
दावा,58
रुक,58
संस्कार,58
लोकप्रिय,58
किंतु,58
निर्मित,58
उम्र,58
चौधरी,58
सदन,58
घोटाला,58
बहू,58
सुशील,58
विद्या,58
चेत,58
वर्णित,58
सहवाग,58
साझेदारी,58
आईसीसी,58
आस्ट्रेलियाई,58
नष्ट,57
व्यावसायिक,57
जाति,57
परिवर्तन,57
सहारा,57
देशी,57
द्रव्य,57
वरिष्ठ,57
पवार,57
पार,57
बातचीत,57
शिष्य,57
सभा,57
महावीर,57
पांचवा,57
उपयोगी,56
पैदावार,56
संरक्षण,56
रणनीति,56
जिंदगी,56
भारी,56
सहित,56
गति,56
पक,56
हवा,56
उपलब्धि,56
विवाह,56
सहज,56
गुरुवार,56
खारिज,56
सो,56
तेरी,56
इच्छा,56
जेल,56
साइना,56
टूट,55
संपर्क,55
रिकॉर्ड,55
अनाज,55
सिद्ध,55
आसानी,55
जम्मू,55
प्रचलित,55
थोडा,55
खासकर,55
सीधा,55
धारण,55
विस्तार,55
शेयर,55
संवाददाता,55
आवाज,55
प्रतिभा,55
विरोधी,55
सुप्रसिद्ध,55
भुल्लर,55
अश्‍विन,55
तकनीक,54
टन,54
सपना,54
अधिकांश,54
उद्देश्य,54
खतरा,54
बजाय,54
स्थानीय,54
यहीं,54
भीतर,54
राशि,54
क्रम,54
शान्ति,54
सांस्कृतिक,54
यथार्थ,54
वरन्,54
आदेश,54
दुःख,54
फाँसी,54
चैंपियन,54
सितंबर,53
पीठ,53
समझौता,53
पीला,53
करवा,53
प्रकोप,53
फैल,53
औसत,53
उत्पत्ति,53
टी,53
शेष,53
कोरिया,53
पहलू,53
दिवसीय,53
सड़क,53
नियुक्त,53
पत्क,53
कठिन,53
वास्तविक,53
कृति,53
विजेता,53
खिताब,53
कोहली,53
तेंदुलकर,53
वास्तव,52
गरीब,52
परन्तु,52
बढ़त,52
आधा,52
रोज,52
चोट,52
फिलहाल,52
सप्‍ताह,52
अर्जुन,52
प्रकट,52
आखिर,52
बेहतरीन,52
अमेरिकी,52
चाय,52
बुद्धि,52
बतौर,52
पीएम,52
सोमवार,52
गँवा,52
संवाद,52
वैज्ञानिक,51
धान,51
स्वतंत्र,51
कमजोर,51
चारा,51
हृदय,51
दृष्टि,51
चंदन,51
मई,51
बजे,51
सदा,51
करार,51
जरा,51
प्रमाण,51
प्रवक्ता,51
मास्टर,51
कलकत्ता,51
फाइन,51
सूखा,50
एकमात्र,50
स्थल,50
गलती,50
अंतरराष्‍ट्रीय,50
मुखर्जी,50
यार,50
सुना,50
कार्रवाई,50
आईपीएल,50
उदाहरण,49
लागू,49
अटल,49
सहयोग,49
ग्राम,49
निश्कित,49
अवधि,49
परंपरागत,49
ऊंचा,49
मशरूम,49
डर,49
चेहरा,49
मालिक,49
पेंटिंग,49
सीख,49
क्रिकेटर,49
सर्वश्रेष्त,49
दर्जा,49
माया,49
विज्ञान,48
नियंत्रण,48
नही,48
उच्च,48
अनुकूल,48
आय,48
कम्पोस्ट,48
जुलाई,48
गृह,48
ओ,48
वन,48
सहयोगी,48
खो,48
जर्मनी,48
संस्कृत,48
हफ्ता,48
व्यक्त,48
मुक्ति,48
मनमोहन,48
चेन्नई,48
पारित,48
बिल,48
मेहमान,48
प्राण,48
अशोक,48
चित्त,48
अवतार,48
पुजारा,48
पीटरसन,48
विधान,47
सतह,47
नियमित,47
बाजरा,47
विविध,47
विशिष्ट,47
सार्वजनिक,47
पहन,47
दोबारा,47
चुनावी,47
मॉडल,47
मुलाकात,47
बाप,47
तुझा,47
लड़की,47
सच्चा,47
तुमसा,47
होली,47
यू,47
शिव,47
ट्रॉफी,47
वर्ल्ड,47
अनुभूति,47
आध्यात्मिक,47
याचिका,47
भारतेंन्दु,47
महज,46
विकल्प,46
आयात,46
अर्थव्यवस्था,46
झटका,46
उल्लेखनीय,46
चक्र,46
सीमित,46
पवित्र,46
बाग,46
जापान,46
अफगानिस्तान,46
व्यावहारिक,46
मान्यता,46
जमा,46
संपन्न,46
शिल्प,46
नारायण,46
प्रभु,46
राह,46
अभिनेता,46
गाड़ी,46
पापा,46
अभिनय,46
एकता,46
उपन्यास,46
सलमान,46
नृत्य,46
चित्रकार,46
ड्रॉ,46
गांव,45
सफेद,45
हिस्सेदारी,45
संकट,45
बराबर,45
व्यापार,45
इसीलिए,45
खाद्यान्न,45
तकनीकी,45
महसूस,45
अत्यधिक,45
ऋतु,45
आरम्भ,45
जून,45
कट,45
प्रेरित,45
एशियाई,45
यूँ,45
प्रतिनिधित्व,45
गैर,45
सम्मानित,45
बादशाह,45
स्टेडियम,45
इंसान,45
देखिया,45
स्वर्ण,45
गुप्त,45
राजदूत,45
मीमांसा,45
कर्मकांड,45
चौटाला,45
गिरावट,44
मसला,44
रोजगार,44
शुद्ध,44
केरल,44
इत्यादि,44
सरल,44
अवश्य,44
बिक्री,44
पृथ्वी,44
कमेटी,44
क्षेत्रीय,44
कमाल,44
हक,44
ऋषि,44
क्लब,44
गुप्ता,44
जोड़ी,44
दलित,44
क्वार्टर,44
लक्ष्मी,44
महेंद्र,44
संप्रदाय,44
मोहाली,44
बीसीसीआई,44
टॉस,44
विशेषज्ञ,43
घट,43
आंदोलन,43
जगत,43
संग्रह,43
उपस्थित,43
गत,43
ऐतिहासिक,43
पर्वत,43
दूध,43
व्यवहार,43
चिदंबरम,43
रुख,43
पाँच,43
सूरत,43
लड़,43
शीर्षक,43
समक्ष,43
प्रशासन,43
निर्वाण,43
शाखा,42
लागत,42
उत्पादकता,42
अंतर्गत,42
प्रबंधन,42
योग्य,42
पूर्वी,42
ताकत,42
भौतिक,42
बुआई,42
छवि,42
वार्षिक,42
अंग्रेजी,42
फ्रांस,42
कारोबार,42
उत्तम,42
विपक्षी,42
पात्र,42
धरती,42
समूह,42
झारखंड,42
खींच,42
विद्वान,42
चिंतन,42
रेलवे,42
दु,42
आलोचना,42
अवार्ड,42
पैठ,42
आकाश,42
दीक्षित,42
चैंपियनशिप,42
संदर्भ,41
शिकार,41
त्योहार,41
दाना,41
कमा,41
यूरोपीय,41
दोहरा,41
बरकरार,41
अचानक,41
एम,41
नवीन,41
आग,41
निवास,41
नित्य,41
शासन,41
निर्माता,41
सेट,41
अमर,41
निर्देश,41
पढ़,41
आपसे,41
भक्‍ति,41
डॉक्टर,41
विचारधारा,41
बॉलीवुड,41
क्षण,41
मूर्त्ति,41
महोत्सव,41
कैच,41
सूख,40
निर्धारित,40
स्वास्थ्य,40
हट,40
मशहूर,40
दर्द,40
प्रारम्भ,40
ख्याल,40
पाल,40
वैसा,40
दिमाग,40
मोर्चा,40
महंगाई,40
छठा,40
थोड़ा,40
अभिनेत्री,40
कर्तव्य,40
श्रद्धा,40
जमाना,40
सेना,40
सिद्धार्थ,40
हाईकोर्ट,40
मित्र,39
हेक्टेयर,39
छा,39
पश्‍चिम,39
आगामी,39
स्रोत,39
तालाब,39
आकर्षण,39
गुजर,39
अगस्त,39
आयु,39
तोड़,39
कमरा,39
लखनऊ,39
शिकायत,39
फेंक,39
ईरान,39
यद्यपि,39
दर्शा,39
कम्पनी,39
कॉलेज,39
रिलीज,39
समर्थ,39
आंकड़ा,39
राजीव,39
जेटली,39
सिन्हा,39
हिम्मत,39
दुख,39
पर्दा,39
लय,39
मुस्लिम,39
ख,39
कबीर,39
प्रश्र,39
उपदेश,39
अभिव्यक्‍ति,39
भोग,39
मेजबान,39
वैष्णव,39
विपरीत,38
मेहनत,38
जाहिर,38
सिर,38
प्रसार,38
इकाई,38
खिला,38
जुट,38
अंग,38
मुख्यतः,38
प्रतियोगिता,38
सुखा,38
ज्वार,38
मुद्रा,38
सामग्री,38
मन्दिर,38
खून,38
पौराणिक,38
सक्रिय,38
पूजन,38
मुलायम,38
घटा,38
कायम,38
बाह्य,38
स्वामी,38
सलाह,38
मंच,38
भ्रमण,38
ग्रन्थ,38
तारीख,38
तर्क,38
एनडीए,38
लाइफ,38
कर्मचारी,38
स्वागत,38
टिप्पणी,38
औरत,38
तारा,38
मुरली,38
भक्त,38
संयोग,38
कतिपय,38
टेनिस,38
इस्तीफा,38
कार्यकर्ता,38
पहाडी,37
निरन्तर,37
अनुरूप,37
बह,37
उपाय,37
जिम्मेदार,37
दशा,37
खरपतवार,37
अभियान,37
लकडी,37
गहराई,37
सर्वप्रथम,37
वादा,37
गेम,37
पत्थर,37
समूचा,37
आंख,37
प्रदर्शित,37
प्रतिनिधि,37
कमाई,37
डॉलर,37
बिंदु,37
दम,37
फंड,37
दिग्गज,37
सिखा,37
साथी,37
निर्देशन,37
फ़िल्में,37
त्याग,37
युद्ध,37
सेमीफाइनल,37
प्रसंग,37
उद्‍घाटन,37
जज,37
सूची,37
परमात्मा,37
राजग,37
फीसद,36
आग्रह,36
हवाला,36
सदी,36
नमी,36
पश्‍चिमी,36
छाप,36
भ्रष्‍टाचार,36
दूरी,36
काला,36
संपूर्ण,36
तार,36
विद्यमान,36
नतीजा,36
पायदान,36
खासा,36
इंद्र,36
समीक्षा,36
कोयला,36
संबन्ध,36
माफ,36
निदेशक,36
चैनल,36
तलाश,36
बोली,36
असली,36
मुन्ना,36
भाभी,36
पत्रिका,36
कवि,36
आमिर,36
फिल्मकार,36
गैलरी,36
टिकट,36
पाक,36
स्‍त्री,36
प्रवृत्त,36
आचार्य,36
समर्थक,36
कार्तिक,36
अविद्या,36
वॉटसन,36
टेलर,36
बांट,35
कर्ज,35
आशंका,35
इलाका,35
दाम,35
महाराष्ट्र,35
दक्षिणी,35
गुणवत्ता,35
क्षेत्रफल,35
शुरुआती,35
सुरक्षित,35
स्वाद,35
अदरक,35
पादप,35
घास,35
कटौती,35
परीक्षा,35
शहरी,35
परेशानी,35
डूब,35
बदले,35
नौकरी,35
अंजलि,35
मनोरंजन,35
फेस्टिवल,35
तमिल,35
प्रश्रय,35
कांस्य,35
अस्पताल,35
परम,35
विराट,35
तीर्थंकर,35
शेन,35
नाबाद,35
विश्‍वविद्यालय,34
युक्त,34
हालात,34
जस्ता,34
जला,34
अग्नि,34
सें,34
अंतर,34
व्यक्‍तिगत,34
उप,34
आक्रमण,34
शरद,34
पेट,34
लिहाज,34
सच्चाई,34
टीका,34
परिचय,34
हित,34
नागरिक,34
जमकर,34
बरस,34
दोस्ती,34
बगैर,34
जगा,34
प्रार्थना,34
पंडित,34
महाभारत,34
नारी,34
प्रतिपादन,34
फ़िल्म,34
राजू,34
तत्कालीन,34
शाह,34
जगन्नाथ,34
स्मिथ,34
आरोपी,34
छक्का,34
जोन,34
चयनकर्ता,34
औद्योगिक,33
वित्तीय,33
वाजपेयी,33
गतिविधि,33
स्वस्थ,33
काली,33
आकर्षक,33
प्रगति,33
आसपास,33
फॉस्फोरस,33
गर्मी,33
उन्नत,33
समावेश,33
गठन,33
सख्त,33
रहित,33
इसलिये,33
बो,33
द्वितीय,33
छूट,33
निचला,33
बारिश,33
किनारा,33
शर्त,33
निश्चित,33
अनिवार्य,33
परे,33
गुड़,33
तथ्य,33
हिन्दुस्तान,33
सभ्यता,33
कब्जा,33
रिजर्व,33
मजबूर,33
माहौल,33
चेयरमैन,33
कडा,33
परेशान,33
राजेश,33
बाबा,33
महल,33
स्वभाव,33
पीछा,33
रणजी,33
मोहन,33
ब्रिटिश,33
वृत्ति,33
सांख्य,33
महायान,33
मजदूर,32
संसदीय,32
धो,32
समर्पित,32
दवा,32
पैमाना,32
औषधि,32
भरपूर,32
गर्म,32
विवरण,32
मद्रास,32
मैसूर,32
आराम,32
प्राणी,32
ग्राहक,32
आकृति,32
आठवाँ,32
आवरण,32
स्वाभाविक,32
अपितु,32
हद,32
रेशम,32
आशा,32
कान,32
ज्यादातर,32
रिजका,32
कोलकाता,32
लिहाजा,32
अनुमति,32
भाषण,32
सर्विस,32
कामयाब,32
झूठ,32
प्रतिमा,32
दौड,32
पुल,32
नितान्त,32
पथ,32
भेंट,32
टेकनीक,32
पेरिस,32
शिक्षक,32
मास,32
श्रमण,32
सुनील,32
पुराण,32
वाटसन,32
पटेल,32
संन्यास,32
गडकरी,32
फिरोज,32
वेस्टइंडी,32
ओपनर,32
मजाक,31
चालू,31
भूख,31
जुड़,31
संदेह,31
संशोधन,31
सिफारिश,31
बिहारी,31
चूंकि,31
रोपाई,31
पुष्प,31
ऊपरी,31
मशीन,31
जौ,31
तुड़ाई,31
पत्ता,31
संप्रग,31
कमल,31
लक्षण,31
पुन,31
पुकार,31
